name,cost,power,ability,tags
Abomination,5,9,,"[{'tag_id': 14, 'tag': 'No Ability', 'tag_slug': 'no-ability'}]"
Absorbing Man,4,4,"<span>On Reveal</span>: If the last card you played has an On Reveal, copy its text. (if it's in play)","[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Adam Warlock,2,0,"At the end of each turn, if you are winning this location, draw a card.",[]
Aero,5,8,<span>On Reveal</span>: Move the last enemy card played this turn to this location.,"[{'tag_id': 11, 'tag': 'Move', 'tag_slug': 'move'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Agatha Harkness,6,14,Agatha starts in your hand and plays your cards for you.,[]
Agent 13,1,2,<span>On Reveal</span>: Add a random card to your hand.,"[{'tag_id': 7, 'tag': 'S.H.I.E.L.D.', 'tag_slug': 'shield'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Agent Coulson,3,4,<span>On Reveal</span>: Add a random 4-Cost and 5-Cost card to your hand.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Alioth,6,5,<span>On Reveal</span>: Destroy ALL enemy cards played here this turn. (including unrevealed cards),[]
America Chavez,6,9,Starts on the bottom of your deck. Draw this on turn 6.,[]
Angel,1,2,"When one of your cards is destroyed, this flies out of your deck to replace it.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Angela,2,0,"After you play a card here, +2 Power.",[]
Annihilus,5,8,<span>On Reveal</span>: Your cards with 0 or less Power switch sides. Destroy those that can't.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Ant Man,1,1,"<span>Ongoing</span>: If you have 3 other cards here, +3 Power.",[]
Apocalypse,6,8,"When you discard this from your hand, put it back with +4 Power.","[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}]"
Armor,2,3,<span>Ongoing</span>: Cards at this location can't be destroyed.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
Arnim Zola,6,0,<span>On Reveal</span>: Destroy a random friendly card here. Add copies of it to the other locations.,"[{'tag_id': 8, 'tag': 'HYDRA', 'tag_slug': 'hydra'}, {'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Attuma,4,10,"If you have another card here at the end of your turn, destroy this.","[{'tag_id': 9, 'tag': 'Destroy', 'tag_slug': 'destroy'}]"
Baron Mordo,2,3,<span>On Reveal</span>: Your opponent draws a card. Set its Cost to 6.,"[{'tag_id': 8, 'tag': 'HYDRA', 'tag_slug': 'hydra'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Bast,1,1,<span>On Reveal</span>: Set the Power of all cards in your hand to 3.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Beast,3,4,<span>On Reveal</span>: Return your other cards at this location to your hand. They cost 1 less.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Bishop,3,1,"After you play a card, this gains +1 Power.",[]
Black Bolt,5,7,<span>On Reveal</span>: Discard the lowest-cost card from your opponent's hand.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Black Cat,4,9,"If you end the turn with this in your hand, discard it.","[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}]"
Black Panther,5,4,<span>On Reveal</span>: Double this card's Power.,"[{'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Black Widow,2,1,<span>On Reveal</span>: Add a Widow's Bite to your opponent's hand.,"[{'tag_id': 7, 'tag': 'S.H.I.E.L.D.', 'tag_slug': 'shield'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Blade,1,3,<span>On Reveal</span>: Discard the rightmost card from your hand.,"[{'tag_id': 10, 'tag': 'Discard', 'tag_slug': 'discard'}, {'tag_id': 12, 'tag': 'On Reveal', 'tag_slug': 'on-reveal'}]"
Blue Marvel,5,3,<span>Ongoing</span>: Your other cards have +1 Power.,"[{'tag_id': 13, 'tag': 'Ongoing', 'tag_slug': 'ongoing'}]"
